Name,Address,City,State,Zip Code,County,Minority Group(s),Contact Name,Contact Phone Number,Contact Fax,Certification Number,Certification Date,Contact Email Address,Website,NAICS Codes(s),Products / Services,Geocoded Location
"ITOTS NETWORKS, LLC","9801 APOLLO DR., UNIT 6633",UPPER MARLBORO,MD,20792,ANNE ARUNDEL,AFRICAN AMERICAN,TODD SANDERS,2404240112,2404423984,12-209,03/14/2012 12:00:00 AM,TSANDERS@ITOTSNETWORKS.COM,http://WWW.ITOTSNETWORKS.COM,"238210-MBE/DBE/SBE, 517911-MBE/DBE/SBE, 518210-MBE/DBE/SBE, 541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541513-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 611420-MBE/DBE/SBE",ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS SPECIFICALLY TELECOMMUNICATIONS EQUIPMENT AND WIRING TELECOMMUNICATIONS RESELLERS DATA PROCESSING HOSTING AND RELATED SERVICES CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES COMPUTER FACILITIES MANAGEMENT SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY COMPUTER DISASTER RECOVERY SERVICES COMPUTER TRAINING,"9801 APOLLO DR., UNIT 6633
UPPER MARLBORO, MD 20792
(38.90329, -76.837291)"
"JETHRO CONTRACTORS, LLC",2605 SHERATON STREET,SILVER SPRING,MD,20906,MONTGOMERY,HISPANIC AMERICAN,KENIA GARCIA,3012375561,2402213668,14-239,05/14/2014 12:00:00 AM,JETHROCONTRACTORS@GMAIL.COM,,"237310-MBE/DBE/SBE, 238140-MBE/DBE/SBE, 238190-MBE/DBE/SBE, 238390-MBE/DBE/SBE, 238910-MBE/DBE/SBE, 238990-MBE/DBE/SBE",HIGHWAY STREET AND BRIDGE CONSTRUCTION SPECIFICALLY CURB GUTTER AND SIDEWALK CONSTRUCTION MASONRY CONTRACTORS SPECIFICALLY BRICK LAYING CINDER BLOCK INSTALLATION OTHER FOUNDATION STRUCTURE AND BUILDING EXTERIOR CONTRACTORS SPECIFICALLY CONCRETE FORMS CONTRACTORS OTHER BUILDING FINISHING CONTRACTORS SPECIFICALLY WATERPROOFING CONTRACTORS SITE PREPARATION CONTRACTORS SPECIFICALLY BACKFILLING CONCRETE BREAK AND CUTTING FOR DEMOLITION EXCAVATING EARTHMOVING OR LAND CLEARING CONTRACTORS AND FOUNDATION DIGGING ALL OTHER SPECIALTY TRADE CONTRACTORS SPECIFICALLY ASPHALT AND ASPHALTING COATING AND SEALING RESIDENTIAL AND COMMERCIAL PARKING LOT AND DRIVEWAY BRICK PAVER INSTALLATION CURB AND GUTTER CONSTRUCTION RESIDENTIAL AND COMMERCIAL PARKING LOT PAVING AND SEALING PATIO CONTRSUCTION POTHOLE DIGGING AND SIDEWALK CONSTRUCTION RESIDENTIAL AND COMMERCIAL,"2605 SHERATON STREET
SILVER SPRING, MD 20906
(39.058942, -77.053764)"
"IMANAGEMENT CONSULTING, LLC",3819 HANSBERRY COURT NE,WASHINGTON,DC,20018,OTHER STATE,AFRICAN AMERICAN,AYOOLA DARAMOLA,2027149443,2023188549,12-057,02/01/2012 12:00:00 AM,AYOOLA@IMANAGEMENT-CONSULTING.COM,http://WWW.IMANAGEMENT-CONSULTING.COM,"541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 611420-MBE/DBE/SBE",COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY SOFTWARE INSTALLATION SERVICES ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES COMPUTER TRAINING,"3819 HANSBERRY COURT NE
WASHINGTON, DC 20018
(38.922881, -76.951464)"
"JAN FERGUSON, INC.","40 HUDSON STREET, #105-106",ANNAPOLIS,MD,21401,ANNE ARUNDEL,FEMALE,KAREN FERGUSON,4108415633,4102665312,10-718,11/17/2010 12:00:00 AM,KARENF@JANFERGUSON.COM,http://WWW.JANFERGUSON.COM,"453110-MBE/DBE/SBE, 561730-MBE/DBE/SBE",FLORISTS SPECIFICALLY COMMERCIAL FLORAL ARRANGING LANDSCAPING SERVICES SPECIFICALLY PLANT AND SHRUB AND MAINTENANCE SERVICES,"40 HUDSON STREET, #105-106
ANNAPOLIS, MD 21401
(38.986771, -76.529881)"
INCIDENT COMMUNICATION SOLUTIONS,218 A LOG CANOE CIRCLE,STEVENSVILLE,MD,21666,QUEEN ANNE'S,NR (SBE ONLY),STEPHEN MORGAN,4106046004,4434580117,14-641,12/03/2014 12:00:00 AM,SMORGAN@INCIDENTCOMMUNICATIONS.COM,,"238210-SBE-ONLY, 493110-SBE-ONLY, 517210-SBE-ONLY, 517410-SBE-ONLY, 517911-SBE-ONLY, 517919-SBE-ONLY, 519190-SBE-ONLY, 541330-SBE-ONLY, 541512-SBE-ONLY, 541519-SBE-ONLY",ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS GENERAL WAREHOUSING AND STORAGE WIRELESS TELECOMMUNICATIONS CARRIERS EXCEPT SATELLITE SATELLITE TELECOMMUNICATIONS TELECOMMUNICATIONS RESELLERS ALL OTHER TELECOMMUNICATIONS ALL OTHER INFORMATION SERVICES ENGINEERING SERVICES COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES,"218 A LOG CANOE CIRCLE
STEVENSVILLE, MD 21666
(38.989697, -76.319211)"
HENRY'S SOUL CAFE  INC.,5431 INDIAN HEAD HIGHWAY,OXON HILL,MD,20745,PRINCE GEORGE'S,AFRICAN AMERICAN,BERNARD BROOKS,3014405449,3018437599,13-535,11/21/2013 12:00:00 AM,BERNARDEBROOKS@AOL.COM,http://WWW.HENRYSSOULCAFE.COM,"424130-MBE/DBE/SBE, 722310-MBE/DBE/SBE, 722320-MBE/DBE/SBE, 722513-MBE/DBE/SBE",INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS FOOD SERVICE CONTRACTORS CATERERS LIMITED SERVICE RESTAURANTS SPECIFICALLY FAMILY RESTAURANT LIMITED SERVICE,"5431 INDIAN HEAD HIGHWAY
OXON HILL, MD 20745
(38.815432, -76.998718)"
"ISLAND BUILDER SERVICES, INC.",200 ANCHOR LANE,CHESTER,MD,21619,QUEEN ANNE'S,FEMALE,BETTY L. MEYR,4106438078,4106434798,89-144,11/06/1989 12:00:00 AM,BETTYCHESTER@AOL.COM,http://WWW.ISLANDBUILDERSINC.COM,"238130-MBE/DBE/SBE, 238910-MBE/DBE/SBE",FRAMING CONTRACTORS SPECIFICALLY INSTALL WINDOW WELLS SITE PREPARATION CONTRACTORS SPECIFICALLY SEDIMENT CONTROL EROSION STORM DRAIN BLEEDERS BROOM SWEEPS STREET WASHING RETAINING WALLS,"200 ANCHOR LANE
CHESTER, MD 21619
(38.983493, -76.287235)"
"HELIX ENTERPRISES, INC.","4200 PARLIAMENT PLACE, SUITE 210",LANHAM,MD,20706,PRINCE GEORGE'S,AFRICAN AMERICAN,BARRINGTON W. JACKSON,3014290880,3014290881,07-330,09/13/2007 12:00:00 AM,BJACKSON@HELIXENTERPRISES.COM,http://WWW.HELIXENTERPRISES.COM,"236220-MBE/DBE/SBE, 238310-MBE/DBE/SBE, 238350-MBE/DBE/SBE",DRYWALL AND INSULATION CONTRACTORS SPECIFICALLY PLASTERING DRYWALL ACOUSTICAL AND INSULATION WORK FINISH CARPENTRY CONTRACTORS SPECIFICALLY CARPENTRY WORK COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION SPECIFICALLY CONSTRUCTION MANAGEMENT,"4200 PARLIAMENT PLACE, SUITE 210
LANHAM, MD 20706
(38.95047, -76.836857)"
IPX INTERNATIONAL,6213 EXECUTIVE BOULEVARD,ROCKVILLE,MD,20852,MONTGOMERY,AFRICAN AMERICAN,DEREK MCKINNEY,3015260154,3012302884,13-241,05/16/2013 12:00:00 AM,BMCKINNEY@JPXCOM.COM,http://WWW.IPXINT.COM,"517110-MBE/DBE/SBE, 517210-MBE/DBE/SBE, 517410-MBE/DBE/SBE, 517911-MBE/DBE/SBE, 518210-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541690-MBE/DBE/SBE",WIRED TELECOMMUNICATIONS CARRIERS WIRELESS TELECOMMUNICATIONS CARRIERS EXCEPT SATELLITE SATELLITE TELECOMMUNICATIONS TELECOMMUNICATIONS RESELLERS DATA PROCESSING HOSTING AND RELATED SERVICES COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY SOFTWARE INSTALLATION SERVICES DISASTER RECOVERY SERVICES OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES SPECIFICALLY RADIO AND SECURITY CONSULTING SERVICES TELECOMMUNICATIONS SOLUTIONS CONSULTING,"6213 EXECUTIVE BOULEVARD
ROCKVILLE, MD 20852
(39.048745, -77.125184)"
"JCL CONSTRUCTION, INC.",13025 BRITTSBROOK LANE,WALDORF,MD,20601,CHARLES,HISPANIC AMERICAN,JOSE CARLOS LOPEZ,2405085786,3016385780,14-566,10/15/2014 12:00:00 AM,,,"238130-MBE/DBE/SBE, 238310-MBE/DBE/SBE, 238320-MBE/DBE/SBE",FRAMING CONTRACTORS SPECIFICALLY CARPENTRY WORK DRYWALL AND INSULATION CONTRACTORS SPECIFICALLY PLASTERING DRYWALL ACOUSTICAL AND INSULATION WORK PAINTING AND WALL COVERING CONTRACTORS,"13025 BRITTSBROOK LANE
WALDORF, MD 20601
(38.621681, -76.858785)"
"IRON HORSE ARCHITECTS, INC.","475 17TH STREET, SUITE 720",DENVER,CO,80202,OTHER STATE,FEMALE,VIRGINIA MCALLISTER,7208557572,,12-684,12/27/2012 12:00:00 AM,VIRGINIA.MCALLISTER@IRONHORSE.EMAIL,http://WWW.IRON-HORSE-ARCHITECTS.COM,541310-MBE/DBE/SBE,ARCHITECTURAL SERVICES,"475 17TH STREET, SUITE 720
DENVER, CO 80202
(39.744767, -104.989228)"
"INTDEG,LLC",7409 VILLAGE ROAD #8,SYKESVILLE,MD,21784,CARROLL,AFRICAN AMERICAN,ZACHARIAS J. JAMES,4437910041,4333007257,17-013,01/11/2017 12:00:00 AM,JOHNZAC25@GMAIL.COM,http://INTDEG.COM,"236115-MBE/DBE/SBE, 236116-MBE/DBE/SBE, 236210-MBE/DBE/SBE, 236220-MBE/DBE/SBE, 238130-MBE/DBE/SBE, 238310-MBE/DBE/SBE, 238320-MBE/DBE/SBE, 238330-MBE/DBE/SBE, 238340-MBE/DBE/SBE, 238350-MBE/DBE/SBE, 541340-MBE/DBE/SBE, 541512-MBE/DBE/SBE",NEW SINGLE FAMILY HOUSING CONSTRUCTION EXCEPT FOR SALE BUILDERS SPECIFICALLY GENERAL CONTRACTOR ADDITIONS REMODELING RENOVATION NEW MULTIFAMILY HOUSING CONSTRUCTION EXCEPT FOR SALE BUILDERS SPECIFICALLY GENERAL CONTRACTOR ADDITIONS REMODELING RENOVATION INDUSTRIAL BUILDING CONSTRUCTION SPECIFICALLY GENERAL CONTRACTOR COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION SPECIFICALLY GENERAL CONTRACTOR FRAMING CONTRACTORS DRYWALL AND INSULATION CONTRACTORS PAINTING AND WALL COVERING CONTRACTORS FLOORING CONTRACTORS TILE AND TERRAZZO CONTRACTORS FINISH CARPENTRY CONTRACTORS DRAFTING SERVICES COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY CAD COMPUTER AIDED DESIGN,"7409 VILLAGE ROAD #8
SYKESVILLE, MD 21784
(39.372189, -76.963523)"
"INTEC COMPANIES, INC. THE",2500 BRIGHTON DAM ROAD,BROOKEVILLE,MD,20833,MONTGOMERY,FEMALE,JAMEELLA NUUR,3015704100,3015704101,02-072,02/12/2002 12:00:00 AM,JNUUR@INTECAEC.COM,http://WWW.INTECAEC.COM,"236220-MBE/DBE/SBE, 541310-MBE/DBE/SBE, 541320-MBE/DBE/SBE, 541330-MBE/DBE/SBE, 561320-MBE/DBE/SBE",TEMPORARY HELP SERVICES LANDSCAPE ARCHITECTURAL SERVICES COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION SPECIFICALLY GENERAL CONTRACTOR COMMERCIAL AND INSTITUTIONAL CONSTRUCTION ENGINEERING SERVICES SPECIFICALLY STRUCTURAL MECHANICAL ARCHITECTURAL SERVICES,"2500 BRIGHTON DAM ROAD
BROOKEVILLE, MD 20833
(39.181582, -77.051675)"
"ICETECH, INC.",940 W. NORTH AVENUE,BALTIMORE,MD,21217-3940,BALTIMORE CITY,AFRICAN AMERICAN,WILLIAM HOPSON,4102253117,4102253120,00-258,10/02/2000 12:00:00 AM,WHOPSON@ICETECH.NET,http://WWW.ICETECH.NET,"518210-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 611420-MBE/DBE/SBE, 811212-MBE/DBE/SBE",DATA PROCESSING HOSTING AND RELATED SERVICES SPECIFICALLY HELP DESK AND MANAGEMENT COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY COMPUTER PROCESSING AND DATA PREPARATION AND PROCESSING SERVICES COMPUTER INTEGRATED SYSTEMS DESIGN COMPUTER TRAINING SPECIFICALLY DATA PROCESSING SCHOOLS,"940 W. NORTH AVENUE
BALTIMORE, MD 21217-3940
(39.31047, -76.634214)"
"HOWARD PAINTING & DRYWALL COMPANY, INC",7620 AIRPARK ROAD,GAITHERSBURG,MD,20879,MONTGOMERY,AFRICAN AMERICAN / FEMALE,DEANNE HOWARD,3015480756,3015481522,16-556,10/26/2016 12:00:00 AM,HPDC@HOWARDPAINTINGCO.COM,http://WWW.HOWARDPAINTINGCO.COM,"238310-MBE/DBE/SBE, 238320-MBE/DBE/SBE, 238390-MBE/DBE/SBE, 561790-MBE/DBE/SBE",DRYWALL AND INSULATION CONTRACTORS SPECIFICALLY DRYWALL AND PLASTERING CONTRACTORS PAINTING AND WALL COVERING CONTRACTORS OTHER BUILDING FINISHING CONTRACTORS SPECIFICALLY CAULKING CONCRETE COATING GLAZING OR SEALING OTHER SERVICES TO BUILDINGS AND DWELLINGS SPECIFICALLY PRESSURE AND POWER WASHING,"7620 AIRPARK ROAD
GAITHERSBURG, MD 20879
(39.169884, -77.155541)"
INTERNATIONAL BUSINESS SALES & SERVICES CORPORATION,1110 BONIFANT STREET STE 501,SILVER SPRING,MD,20910,MONTGOMERY,FEMALE,SONYA G. VELASCO,3019429014,3019429018,10-216,04/05/2010 12:00:00 AM,SONYA.VELASCO@IBSSCORP.COM,http://WWW.IBSSCORP.COM,541310-MBE/DBE/SBE,ARCHITECTURAL SERVICES,"1110 BONIFANT STREET STE 501
SILVER SPRING, MD 20910
(38.993368, -77.029151)"
"HELBERG ELECTRICAL SUPPLY, LLC",12B FILMORE PLACE,FREEPORT,NY,11520,OTHER STATE,AFRICAN AMERICAN / FEMALE,DEIDRE HELBERG,5168688028,5169922253,13-267,06/03/2013 12:00:00 AM,,http://HELBERGELECTRICALSUPPLY.COM,"423610-MBE/DBE/SBE, 423720-MBE/DBE/SBE, 423830-MBE/DBE/SBE",ELECTRICAL APPARATUS AND EQUIPMENT WIRING SUPPLIES AND RELATED EQUIPMENT MERCHANT WHOLESALERS SPECIFICALLY ELECTRICAL APPARATUS AND LIGHTING PLUMBING AND HEATING EQUIPMENT AND SUPPLIES HYDRONICS MERCHANT WHOLESALERS SPECIFICALLY RENEWABLE ENERGY TECHNOLOGIES PRODUCTS INCLUUDING PV SOLAR PANELS AND WIND TURBINES INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,"12B FILMORE PLACE
FREEPORT, NY 11520
(40.648587, -73.572165)"
"INTELLECTUAL CONCEPTS, LLC",3300 BUCKEYE ROAD SUITE 440,ATLANTA,GA,30341,OTHER STATE,AFRICAN AMERICAN / FEMALE,DELOIS B. BABIKER,2023214560,,10-621,09/29/2010 12:00:00 AM,DBABIKER@INTELLECTUALCONCEPTS.NET,http://WWW.INTELLECTUALCONCEPTS.NET,"541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 541618-MBE/DBE/SBE, 541690-MBE/DBE/SBE, 561110-MBE/DBE/SBE",CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES SPECIFICALLY DATA INTEGRATION MIGRATION APPLICATION DEVELOPMENT TACTILE STRATEGIES TELECOMMUNICATIONS DEVELOPMENT ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY STRATEGIC PLANNING CONSULTING OTHER MANAGEMENT CONSULTING SERVICES SPECIFICALLY SECURITY ASSESSMENT AND INFORMATION ASSURANCE CONSULTING OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES SPECIFICALLY SECURITY CONSULTING SERVICES CYBER SECURITY OFFICE ADMINISTRATIVE SERVICES SPECIFICALLY MANAGER SERVICES ADMINISTRATIVE SERVICES ADMINISTRATIVE MANAGEMENT,"3300 BUCKEYE ROAD SUITE 440
ATLANTA, GA 30341
(33.886297, -84.25776)"
"INSYSTECH, INC.",14566 LEE ROAD,CHANTILLY,VA,20151,OTHER STATE,ASIAN AMERICAN SUB-CONTINENT,RAMJI VENKATACHARI,7036570472,7036570442,09-082,02/04/2009 12:00:00 AM,RAMJIV@INSYSTECHINC.COM,http://WWW.INSYSTECHINC.COM,518210-MBE-ONLY,DATA PROCESSING HOSTING AND RELATED SERVICES SPECIFICALLY COMPUTER SOFTWARE SERVICES,"14566 LEE ROAD
CHANTILLY, VA 20151
(38.889035, -77.45148)"
"IMS CONSULTING SERVICES, LLC",12830 DUNKIRK DRIVE,UPPER MARLBORO,MD,20772,PRINCE GEORGE'S,AFRICAN AMERICAN,DAVID I. SIMMONS,3012848299,3015744040,15-215,05/06/2015 12:00:00 AM,DSIMMONS@IMSCONSULTINGSERVICES.COM,http://WWW.IMS-CONSULTINGSERVICES.COM,"541512-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 541618-MBE/DBE/SBE, 541720-MBE/DBE/SBE, 561110-MBE/DBE/SBE",COMPUTER SYSTEMS DESIGN SERVICES SPECIFICALLY COMPUTER SYSTEM INTEGRATION ANALYSIS AND DESIGN CONSULTING SERVICES IT PROJECT MANAGEMENT ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY ADMINISTRATIVE MANAGEMENT CONSULTING BUSINESS MANAGEMENT CONSULTING GENERAL MANAGEMENT CONSULTING DOCUMENT ANALYSIS PROJECT AND PROGRAM MANAGEMENT PROCESS IMPROVEMENT OTHER MANAGEMENT CONSULTING SERVICES SPECIFICALLY TELECOMMUNICATIONS MANAGEMENT CONSULTING SERVICES RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES SPECIFICALLY BUSINESS RESEARCH AND DEVELOPMENT SERVICES RELATED TO NEEDS ASSESSMENT OFFICE ADMINISTRATIVE SERVICES SPECIFICALLY ADMINISTRATIVE MANAGEMENT SERVICES BUSINESS MANAGEMENT SERVICES BILLING SERVICES RECORD KEEPING DATA ENTRY RECORDS MANAGEMENT,"12830 DUNKIRK DRIVE
UPPER MARLBORO, MD 20772
(38.83187, -76.779396)"
IBS & D CORPORATION,"4600 JOHN MARR DRIVE, SUITE 100",ANNANDALE,VA,22003,OTHER STATE,ASIAN AMERICAN PACIFIC / FEMALE,UNMI LEE,7038282345,,15-218,05/06/2015 12:00:00 AM,INFO@IBSDCORP.COM,http://WWW.IBSDCORP.COM,"541430-MBE-ONLY, 541511-MBE-ONLY, 541611-MBE-ONLY",GRAPHIC DESIGN SERVICES CUSTOM COMPUTER PROGRAMMING SERVICES SPECIFICALLY WEBSITE DESIGN ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,"4600 JOHN MARR DRIVE, SUITE 100
ANNANDALE, VA 22003
(38.82851, -77.197087)"
"HCD INTERNATIONAL, INC.","4390 PARLIAMENT PLACE, SUITE A",LANHAM,MD,20706,PRINCE GEORGE'S,AFRICAN AMERICAN,JEAN CROWDER DRUMMOND,3015528803,3015526436,97-252,07/09/1997 12:00:00 AM,JDRUMMOND@HCDI.COM,http://WWW.HCDI.COM,"541430-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 541820-MBE/DBE/SBE, 611519-MBE/DBE/SBE",GRAPHIC DESIGN SERVICES SPECIFICALLY PRE PREP PRINTING COMMERCIAL ART GRAPHIC DESIGN OTHER TECHNICAL AND TRADE SCHOOLS SPECIFICALLY EDUCATIONAL SERVICES NEC ON SITE TRAINING SEMINARS ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES SPECIFICALLY MANAGEMENT CONSULTING SERVICES MANAGEMENT CONSULTING IN THE AREAS OF HEALTH CARE MANAGEMENT ORGANIZATIONAL DEVELOPMENT AND TRAINING TECHNICAL WRITING PUBLIC RELATIONS AGENCIES SPECIFICALLY MARKETING AND PUBLIC RELATIONS,"4390 PARLIAMENT PLACE, SUITE A
LANHAM, MD 20706
(38.950578, -76.836982)"
"HOFFBERGER MOVING SERVICES, LLC.",1406 SHOEMAKER ROAD,BALTIMORE,MD,21209,BALTIMORE CITY,FEMALE,MARGARET A. HOFFBERGER,4108253344,4108253355,10-360,06/07/2010 12:00:00 AM,MHOFFBERGER@HMSMOVERS.COM,http://WWW.HMSMOVERS.COM,"484210-MBE/DBE/SBE, 488991-MBE/DBE/SBE, 493190-MBE/DBE/SBE",USED HOUSEHOLD AND OFFICE GOODS MOVING SPECIFICALLY PROVIDING LOCAL OR LONG DISTANCE TRUCKING OF NEW AND USED FURNITURE AND EQUIPMENT FOR COMMERCIALCOMPANIES INSTITUTIONS LIBRAIRIES EDUCATIONAL FACILITIES GOVERNMENT FACILITIES MILITARY FACILITIES MUSEUMS HOSPITALS LABORATORIES WITH INCIDENTAL PACKING AND STORAGE ACTIVITIES PACKING AND CRATING SPECIFICALLY PACKING CRATING LABELING AND OTHERWISE PREPARING GOODS FOR TRANSPORTATION OTHER WAREHOUSING AND STORAGE THIS INDUSTRY COMPRISES ESTABLISHMENTS PRIMARILY ENGAGED IN SPECIFICALLY OPERATING WAREHOUSING AND STORAGE FACILITIES,"1406 SHOEMAKER ROAD
BALTIMORE, MD 21209
(39.383539, -76.65905)"
"INFOMC, INC.","101 WEST ELM STREET, SUITE G10",CONSHOHOCKEN,PA,19428,OTHER STATE,ASIAN AMERICAN SUB-CONTINENT,GLENN KUTLER,4845300100,4845300111,14-356,06/27/2014 12:00:00 AM,GLENNKUTLER@FULCRUMCAPITALLLC.COM,http://WWW.INFOMC.COM,"541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541519-MBE/DBE/SBE",CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES OTHER COMPUTER RELATED SERVICES,"101 WEST ELM STREET, SUITE G10
CONSHOHOCKEN, PA 19428
(40.073567, -75.308538)"
"ISOM EVENTS, LLC",300 NEW JERSEY AVE NW SUITE 900,WASHINGTON,DC,20001,OTHER STATE,AFRICAN AMERICAN / FEMALE,TOWAN DENISE ISOM,2023473374,2028211326,17-155,03/22/2017 12:00:00 AM,TOWAN@ISOMGLOBAL.COM,http://WWW.ISOMGLOBAL.COM,"541430-DBE/SBE-ONLY, 541611-DBE/SBE-ONLY, 541613-DBE/SBE-ONLY, 541720-DBE/SBE-ONLY, 541910-DBE/SBE-ONLY, 561920-DBE/SBE-ONLY",GRAPHIC DESIGN SERVICES ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES MARKETING CONSULTING SERVICES RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES MARKETING RESEARCH AND PUBLIC OPINION POLLING CONVENTION AND TRADE SHOW ORGANIZERS,"300 NEW JERSEY AVE NW SUITE 900
WASHINGTON, DC 20001
(38.894665, -77.0109)"
"INODITECH, LLC",14340  TORREY CHASE BLVD SUITE #210,HOUSTON,TX,77014,OTHER STATE,ASIAN AMERICAN PACIFIC,LAM NGUYEN,2817429560,8326603909,17-206,04/19/2017 12:00:00 AM,LAM.NGUYEN@CAMINOIS.COM,http://WWW.CAMINOIS.COM,"518210-MBE-ONLY, 541512-MBE-ONLY",DATA PROCESSING HOSTING AND RELATED SERVICES COMPUTER SYSTEMS DESIGN SERVICES,"14340 TORREY CHASE BLVD SUITE #210
HOUSTON, TX 77014
(29.988314, -95.492241)"
"JASINT CONSULTING AND TECHNOLOGIES, LLC",7959 COVINGTON AVENUE,GLEN BURNIE,MD,21061,ANNE ARUNDEL,AFRICAN AMERICAN,RODNEY C. WILLIAMS,4433064493,4435571694,13-007,01/18/2013 12:00:00 AM,INFO@JASINT.COM,http://WWW.JASINT.COM,"541511-MBE/DBE/SBE, 541512-MBE/DBE/SBE, 541513-MBE/DBE/SBE, 541519-MBE/DBE/SBE, 541611-MBE/DBE/SBE, 611420-MBE/DBE/SBE",CUSTOM COMPUTER PROGRAMMING SERVICES COMPUTER SYSTEMS DESIGN SERVICES COMPUTER FACILITIES MANAGEMENT SERVICES SPECIFICALLY MANAGE AND MONITOR OPERATIONS OF SYSTEMS AND ALARMS IN FACILITIES OTHER COMPUTER RELATED SERVICES SPECIFICALLY COMPUTER DISASTER RECOVERY SERVICES ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES COMPUTER TRAINING,"7959 COVINGTON AVENUE
GLEN BURNIE, MD 21061
(39.133704, -76.645343)"
JAN JAS EXPRESS SERVICE,"9914 CERVIDAE LANE, SUITE 2O3",RANDALLSTOWN,MD,21133,BALTIMORE,AFRICAN AMERICAN,DUANE WILKINSON,4436210661,4434551488,10-399,06/24/2010 12:00:00 AM,JANJASEXPRESS1@GMAIL.COM,,"491110-MBE/DBE/SBE, 492110-MBE/DBE/SBE, 561110-MBE/DBE/SBE, 561499-MBE/DBE/SBE",POSTAL SERVICE SPECIFICALLY POSTAL DELIVERY SERVICES LOCAL OPERATED ON A CONTRACT BASIS COURIERS AND EXPRESS DELIVERY SERVICES SPECIFICALLY LOCAL LETTER PARCEL DELIVERY SERVICES OFFICE ADMINISTRATIVE SERVICES SPECIFICALLY OFFICE ADMINISTRATION SERVICES EXPRESS DELIVERY SERVICES ALL OTHER BUSINESS SUPPORT SERVICES SPECIFICALLY MAIL CONSOLIDATION SERVICES,"9914 CERVIDAE LANE, SUITE 2O3
RANDALLSTOWN, MD 21133
(39.384283, -76.825123)"
IAHMANN ASSOCIATES,4408 BEECHWOOD ROAD,UNIVERSITY PARK,MD,20782,PRINCE GEORGE'S,ASIAN AMERICAN PACIFIC / FEMALE,ISABEL S. AHMANN,2407311100,,16-195,04/22/2016 12:00:00 AM,IAHMANN@IAHMANNASSOCIATES.COM,,"541310-MBE/DBE/SBE, 541340-MBE/DBE/SBE, 541410-MBE/DBE/SBE",ARCHITECTURAL SERVICES DRAFTING SERVICES INTERIOR DESIGN SERVICES,"4408 BEECHWOOD ROAD
UNIVERSITY PARK, MD 20782
(38.974027, -76.938839)"
